City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-22.71,84,75,2.57,CA,1732978419
1,mhamid,29.82,-5.72,23.81,16,20,4.37,MA,1732978420
2,ilulissat,69.2167,-51.1,-9.99,79,75,0.51,GL,1732978363
3,abepura,-2.6333,140.5833,25.45,94,20,0.51,ID,1732978422
4,puerto natales,-51.7236,-72.4875,14.25,44,75,11.83,CL,1732978423
5,punta arenas,-53.15,-70.9167,13.06,54,75,14.92,CL,1732978353
6,vulcan,45.3833,23.2667,2.89,100,100,1.33,RO,1732978426
7,crane,31.3974,-102.3501,7.56,38,96,1.5,US,1732978427
8,banda aceh,5.5577,95.3222,27.21,78,98,2.84,ID,1732978428
9,sao felix do xingu,-6.6447,-51.995,37.99,29,96,1.23,BR,1732978429
10,chonchi,-42.6128,-73.8092,15.62,49,25,1.65,CL,1732978430
11,avarua,-21.2078,-159.775,23.03,83,100,3.6,CK,1732978431
12,remire-montjoly,4.9167,-52.2667,31.02,66,40,6.17,GF,1732978432
13,yung shue wan,22.2333,114.1167,18.71,64,64,4.51,HK,1732978434
14,stanley,54.868,-1.6985,10.85,91,85,2.84,GB,1732978435
15,rongelap,11.1635,166.8941,28.36,75,94,9.83,MH,1732978436
16,kragero,58.8693,9.4149,8.34,96,100,7.02,NO,1732978438
17,port mathurin,-19.6833,63.4167,24.83,77,6,8.13,MU,1732978439
18,kattivakkam,13.2167,80.3167,27.05,98,100,11.13,IN,1732978440
19,comacchio,44.6975,12.1858,11.11,59,7,3.77,IT,1732978442
20,fort st. john,56.2499,-120.8529,-26.06,76,75,4.63,CA,1732978443
21,college,64.8569,-147.8028,-21.03,73,100,2.06,US,1732978444
22,port-aux-francais,-49.35,70.2167,6.94,97,100,13.41,TF,1732978445
23,hilo,19.7297,-155.09,19.51,82,0,3.09,US,1732978446
24,gurjaani,41.7429,45.8011,5.61,73,100,0.5,GE,1732978447
25,qaqortoq,60.7167,-46.0333,-7.8,67,93,4.12,GL,1732978448
26,grytviken,-54.2811,-36.5092,3.15,87,100,5.43,GS,1732978449
27,alotau,-10.3069,150.4462,25.42,95,45,1.25,PG,1732978451
28,constantia,44.1833,28.65,10.39,84,58,8.37,RO,1732978445
29,pangkalanbuun,-2.6833,111.6167,23.82,99,100,0.52,ID,1732978453
30,curup,-3.4667,102.5333,21.64,98,100,0.64,ID,1732978454
31,udachny,66.4167,112.4,-31.72,100,95,1.64,RU,1732978455
32,wailua homesteads,22.0669,-159.378,20.44,95,100,3.09,US,1732978456
33,minas de marcona,-15.2119,-75.1103,19.2,72,100,4.88,PE,1732978457
34,hawaiian paradise park,19.5933,-154.9731,19.39,82,0,3.09,US,1732978459
35,saudarkrokur,65.7461,-19.6394,-6.23,82,90,4.07,IS,1732978460
36,iqaluit,63.7506,-68.5145,-4.15,74,100,1.54,CA,1732978461
37,show low,34.2542,-110.0298,-5.84,93,0,1.54,US,1732978462
38,lihue,21.9789,-159.3672,20.77,100,100,3.09,US,1732978463
39,adamstown,-25.066,-130.1015,22.68,81,59,6.07,PN,1732978464
40,ribeira grande,38.5167,-28.7,18.22,55,20,7.2,PT,1732978465
41,sisimiut,66.9395,-53.6735,-13.13,82,79,4.5,GL,1732978466
42,georgetown,5.4112,100.3354,27.96,74,20,3.13,MY,1732978467
43,isafjordur,66.0755,-23.124,-3.98,74,100,11.83,IS,1732978469
44,mount gambier,-37.8333,140.7667,14.9,99,100,2.62,AU,1732978470
45,mazamari,-11.3258,-74.5308,28.5,64,94,1.03,PE,1732978471
46,alofi,-19.0595,-169.9187,23.94,94,20,3.6,NU,1732978472
47,blackmans bay,-43.0167,147.3167,15.41,95,100,0.45,AU,1732978473
48,sarangani,5.4033,125.4636,28.12,75,100,2.68,PH,1732978474
49,margaret river,-33.95,115.0667,16.0,82,100,4.21,AU,1732978475
50,flying fish cove,-10.4217,105.6791,28.21,83,100,4.41,CX,1732978477
51,port elizabeth,-33.918,25.5701,23.16,64,40,4.12,ZA,1732978478
52,papao,-17.75,-149.55,25.82,79,100,5.87,PF,1732978479
53,hamilton,39.1834,-84.5333,-4.08,64,0,4.12,US,1732978456
54,talnakh,69.4865,88.3972,-12.5,86,100,7.26,RU,1732978481
55,kapit,2.0167,112.9333,23.32,92,100,0.44,MY,1732978482
56,al mijlad,11.0333,27.7333,30.41,14,8,4.8,SD,1732978483
57,murzuq,25.9155,13.9184,19.42,27,82,0.97,LY,1732978484
58,kavaratti,10.5669,72.642,27.58,67,100,6.22,IN,1732978486
59,belyy yar,53.6039,91.3903,-9.06,100,95,2.0,RU,1732978487
60,albany,42.6001,-73.9662,-0.39,69,10,1.34,US,1732978245
61,west island,-12.1568,96.8225,25.99,94,100,2.06,CC,1732978489
62,podporozh'ye,60.9112,34.1706,1.13,90,100,3.07,RU,1732978490
63,san antonio de pale,-1.4014,5.6325,26.39,84,97,6.66,GQ,1732978491
